Contact Id,Gift Date
2387,6/17/2014
2850,3/26/2014
2984,3/23/2015
473,5/15/2014
602,11/19/2014
1320,12/21/2019
421,4/28/2016
2802,8/5/2010
438,5/10/2016
569,7/31/2019
2998,12/18/2019
477,8/20/2012
2778,5/23/2013
553,4/6/2018
430,12/27/2010
523,1/7/2015
3047,1/7/2022
493,11/4/2012
518,7/15/2015
2405,12/30/2010
831,7/19/2010
2973,11/15/2013
2813,1/2/2020
330,10/18/2011
344,1/2/2020
54,9/23/2016
2378,11/26/2018
570,9/27/2018
602,9/25/2014
472,1/16/2011
2386,6/6/2014
857,7/9/2018
422,5/8/2012
2250,7/29/2011
858,5/9/2011
935,9/27/2018
2831,6/21/2011
2854,5/8/2013
490,3/2/2015
845,4/1/2010
304,5/31/2018
1773,12/31/2014
427,12/27/2011
523,10/30/2012
935,12/22/2016
899,8/3/2012
2981,12/19/2014
430,12/2/2012
850,9/23/2013
434,5/12/2011
480,12/30/2010
2852,5/15/2012
500,12/16/2013
935,4/3/2018
2858,7/20/2012
407,12/27/2017
306,2/1/2011
891,1/4/2012
848,1/13/2011
456,9/13/2010
352,6/24/2014
555,1/31/2019
2774,4/15/2015
52,9/23/2016
3047,9/17/2021
24,7/9/2018
934,12/16/2015
935,12/21/2017
600,12/17/2015
2812,12/12/2011
337,5/29/2013
843,12/2/2011
887,10/31/2012
490,1/2/2015
2985,3/9/2017
2812,6/15/2012
1034,12/12/2014
419,12/31/2014
523,12/27/2017
2849,5/2/2013
56,11/29/2016
935,11/26/2018
2870,6/8/2013
333,6/15/2013
519,10/24/2013
600,11/15/2013
2864,1/12/2012
935,10/28/2016
304,6/24/2019
592,4/9/2019
416,12/19/2013
2998,6/27/2016
535,6/7/2012
289,1/9/2017
491,10/24/2013
2816,10/11/2013
474,12/8/2015
3047,4/18/2022
53,9/23/2016
844,12/4/2012
2404,12/5/2010
935,3/28/2019
857,12/27/2017
474,1/7/2016
2810,12/18/2019
2854,6/3/2015
409,1/2/2019
1544,12/10/2021
935,7/20/2018
421,11/18/2013
860,5/30/2012
434,4/13/2018
318,5/27/2013
863,6/5/2012
472,10/27/2016
2385,11/30/2015
476,5/28/2013
2860,5/29/2013
2836,6/5/2012
367,12/10/2018
493,7/8/2015
368,12/31/2014
538,12/3/2018
437,8/22/2011
517,5/25/2011
39,6/29/2018
1544,3/21/2022
477,12/31/2013
423,12/19/2019
3047,8/8/2021
2828,6/21/2011
851,12/31/2014
2104,2/27/2014
650,4/28/2015
3032,11/14/2017
935,6/22/2017
432,11/3/2011
1334,5/18/2016
3019,2/28/2018
12,7/20/2018
440,7/9/2018
440,5/10/2016
707,3/6/2015
875,6/22/2011
2850,4/4/2012
516,10/30/2012
2399,1/30/2015
422,12/22/2015
2848,3/25/2019
34,7/28/2016
304,2/28/2019
2378,10/19/2015
1323,12/25/2019
2804,3/27/2014
1337,8/25/2016
